what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220043949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220044355
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1343220048056
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1343220050118
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1343220050618
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1343220052835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220060378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220062674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220070717
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1343220070873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220070936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220070951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220071529
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343220075980
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1343220081758
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343220085101
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1343220092222
started,bundle,org.apache.geronimo.st.ui,3.0.0.v20120618-130145,"org.apache.geronimo.st.ui",1343220092597
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1343220094627
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1343220096548
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1343220101108
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1343220104169
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1343220107058
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1343220125362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220144384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220147335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343220169418
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343220173541
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343220174525
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1343220185707
